model,weekly_downloads
debug,185669323
chalk,179411287
tslib,118817151
commander,91793486
fs-extra,64348232
uuid,63413795
async,48205073
core-js,40035188
axios,30012384
bluebird,25585996
express,24868731
request,20478376
moment,20261593
prop-types,17343036
react,15657766
react-dom,14413007
classnames,9686374
underscore,9291015
lodash,43586848
vue,3295826
