,repo,monthly_downloads
0,boto3,381577008
1,urllib3,230144953
2,botocore,219681787
3,requests,214190779
4,idna,208143059
5,setuptools,200134713
6,typing-extensions,191041022
7,s3transfer,180184537
8,certifi,169821646
9,six,161097694
10,python-dateutil,155013731
11,charset-normalizer,149226552
12,pyyaml,146534357
13,click,140108021
14,pip,129097778
15,jinja2,124520361
16,attrs,120398265
17,numpy,117773767
18,cryptography,116804762
19,wheel,114653094
